industry,17_ratio,18_ratio,19_ratio,20_ratio,21_ratio
전 산업,19.284425736620562,20.597925564368516,21.3979153893317,21.96139476961395,22.955818294959553
광업,21.120591581342435,21.715741789354475,22.63517359134889,23.868653421633557,24.541411895497497
제조업,20.522803114571744,22.190852625635234,22.83683911313246,23.103647944412277,24.43227665706052
"전기, 가스, 증기 및 수도사업",38.08975136446331,39.7038864898211,40.53615960099751,41.13011606597435,41.788366336633665
"하수, 폐기물처리, 원료재생 및 환경복원업",17.442123094297006,18.492688413948255,19.630459126539755,22.02832861189802,23.143018654607122
건설업,18.491895701198025,20.101083032490976,21.6507703595011,22.147552958363768,22.855040470934508
도매 및 소매업,18.192124105011935,19.455205811138015,20.37462235649547,20.897435897435894,21.678876678876676
운수업,18.652482269503547,20.16216216216216,21.156421180766888,22.20125786163522,23.689138576779026
숙박 및 음식점업,10.13715710723192,11.00187852222918,11.82219419924338,12.55177020708083,12.836927223719677
"출판, 영상, 방송통신 및 정보서비스업",25.618396519577377,26.46658415841584,27.230018303843806,28.162393162393162,29.2260816575259
금융 및 보험업,35.55140186915888,37.45183343691734,38.61300309597523,40.25909932140654,43.00802964793082
부동산업 및 임대업,13.228772309356408,14.533258803801006,15.617913832199546,16.443418013856814,17.19441210710128
"전문, 과학 및 기술 서비스업",28.057464084946908,29.657107231920197,30.36555142503098,30.123685837971554,31.596534653465348
사업시설관리 및 사업지원 서비스업,12.646880678376743,13.498774509803923,14.333128457283344,14.910327767470626,15.373226403454659
교육 서비스업,22.96398891966759,23.87210119465917,24.447572132301197,24.64128843338214,24.453352769679302
보건업 및 사회복지 서비스업,16.237082066869302,17.224615384615383,18.249075215782984,18.549810844892814,19.039797852179404
"예술, 스포츠 및 여가 관련 서비스업",15.74921630094044,17.01965757767914,18.05893657911595,19.191716766867067,19.607072691552066
"협회 및 단체, 수리 및 기타 개인서비스업",13.641900121802681,14.820987654320987,15.74108818011257,15.988771054273236,16.625615763546797
