산업,2017,2018,2019,2020,2021
광업 및 벌목업,180.73333333333335,183.69999999999996,184.9333333333333,177.4333333333333,180.39999999999998
건설업,156.33333333333334,156.79999999999998,157.0,155.49999999999997,155.76666666666668
제조업,163.2,163.6,162.16666666666666,159.29999999999998,161.6
도매업,156.20000000000002,156.13333333333333,155.6333333333333,153.86666666666667,156.6
소매업,123.86666666666667,123.89999999999999,122.46666666666665,123.03333333333335,123.33333333333333
운수업,154.9,155.9,153.93333333333334,153.46666666666667,155.23333333333335
"전기, 가스, 증기 및 수도사업",168.83333333333334,168.46666666666664,169.06666666666666,170.80000000000004,169.93333333333334
정보산업,144.9,144.23333333333335,145.30000000000004,146.26666666666668,148.23333333333332
금융업,149.83333333333334,150.4666666666667,150.53333333333336,150.5666666666667,150.3
"전문, 과학 및 기술 서비스업",144.20000000000002,144.46666666666667,144.6666666666667,145.53333333333333,146.76666666666668
"예술, 스포츠 및 여가 관련 서비스업",104.16666666666669,104.19999999999999,103.63333333333334,101.8,104.76666666666667
기타 산업,127.06666666666668,127.13333333333333,127.46666666666665,128.8333333333333,129.36666666666667
