industry,2017 근로시간,2018 근로시간,2019 근로시간,2020 근로시간,2021 근로시간
전 산업,166.3,163.9,163.1,160.6,160.7
광업,175.8,176.6,175.7,181.2,179.9
제조업,179.8,177.1,175.9,172.7,173.5
"전기, 가스, 증기 및 수도사업",164.9,162.1,160.4,163.7,161.6
"하수, 폐기물처리, 원료재생 및 환경복원업",177.1,177.8,178.6,176.5,176.9
건설업,141.9,138.5,136.3,136.9,135.9
도매 및 소매업,167.6,165.2,165.5,163.8,163.8
운수업,169.2,166.5,164.3,159.0,160.2
숙박 및 음식점업,160.4,159.7,158.6,149.7,148.4
"출판, 영상, 방송통신 및 정보서비스업",160.9,161.6,163.9,163.8,164.1
금융 및 보험업,160.5,160.9,161.5,162.1,161.9
부동산업 및 임대업,184.9,178.9,176.4,173.2,171.8
"전문, 과학 및 기술 서비스업",160.1,160.4,161.4,161.7,161.6
사업시설관리 및 사업지원 서비스업,165.1,163.2,162.7,161.7,162.1
교육 서비스업,144.4,142.3,142.1,136.6,137.2
보건업 및 사회복지 서비스업,164.5,162.5,162.2,158.6,158.3
"예술, 스포츠 및 여가 관련 서비스업",159.5,157.7,156.1,149.7,152.7
"협회 및 단체, 수리 및 기타 개인서비스업",164.2,162.0,159.9,160.3,162.4
